country,genre,song name,artist,rating,album_url,track_id
angola,rock,saudade,instinto primario,7.5,https://cdn-images.dzcdn.net/images/cover/5a2fc93f29f714161827ce2466534b8b/250x250-000000-80-0-0.jpg,2130947457
angola,metal,o ser,m'vula,,,
antarctica,indie rock,how many people,nunatuk,6.5,,
argentina,indie rock,ratas,homogenica,7.0,https://cdn-images.dzcdn.net/images/cover/8a2531ad9ef62dff7d94a5970e235498/250x250-000000-80-0-0.jpg,2670586682
argentina,indie rock,turista,homogenica,8.0,https://cdn-images.dzcdn.net/images/cover/8a2531ad9ef62dff7d94a5970e235498/250x250-000000-80-0-0.jpg,2670586652
argentina,indie rock,animales,homogenica,8.0,https://cdn-images.dzcdn.net/images/cover/8a2531ad9ef62dff7d94a5970e235498/250x250-000000-80-0-0.jpg,2670586672
argentina,indie rock,bichos,homogenica,8.5,https://cdn-images.dzcdn.net/images/cover/8a2531ad9ef62dff7d94a5970e235498/250x250-000000-80-0-0.jpg,2670586662
argentina,indie rock,somniferos,no te me enojes,7.5,https://cdn-images.dzcdn.net/images/cover/5aa451b9d00609eab7049ee9f8b951fb/250x250-000000-80-0-0.jpg,3111677501
argentina,indie rock,paraisos mentales,marchitorial,7.5,https://cdn-images.dzcdn.net/images/cover/9ca7145143647548903c21fa29f113a2/250x250-000000-80-0-0.jpg,2821074652
argentina,noise rock,solo un momento,sunlid,8.5,https://cdn-images.dzcdn.net/images/cover/6666f925fd875ba09dcbfcaf93f30002/250x250-000000-80-0-0.jpg,2988322011
argentina,rock,amigo del alma,juan y la suya,7.8,https://cdn-images.dzcdn.net/images/cover/5e49cfc3756fc7256839148fcb1d3421/250x250-000000-80-0-0.jpg,3305938631
argentina,indie rock,blood of my blood,jonabug,8.0,https://cdn-images.dzcdn.net/images/cover/ca758eb1d9ffd0331aafc2a93a1a9856/250x250-000000-80-0-0.jpg,2364343295
argentina,rock,ya nada es igual,sunlid,,https://cdn-images.dzcdn.net/images/cover/6666f925fd875ba09dcbfcaf93f30002/250x250-000000-80-0-0.jpg,2988321971
armenia,rock,the noise is a scream,clocker,6.0,https://cdn-images.dzcdn.net/images/cover/94302d493af6bef3cc053b221711ad95/250x250-000000-80-0-0.jpg,417835702
aruba,indie rock,stomp,the revoir,8.5,https://cdn-images.dzcdn.net/images/cover/fa7e7fed1dc3385dfae9419d495aaa15/250x250-000000-80-0-0.jpg,2422836295
australia,indie rock,zoom,last dinosaurs,10.0,https://cdn-images.dzcdn.net/images/cover/1e500063a8979afefaba123b68ad4b42/250x250-000000-80-0-0.jpg,16578033
australia,indie rock,weekend,last dinosaurs,8.0,https://cdn-images.dzcdn.net/images/cover/1e500063a8979afefaba123b68ad4b42/250x250-000000-80-0-0.jpg,16578040
austria,experimental rock,acting moderate,killed by 9v batteries,9.0,https://cdn-images.dzcdn.net/images/cover/2a537a3534339370da26a66122701a24/250x250-000000-80-0-0.jpg,1779933577
bangladesh,alternative,sheishob din raatri,karnival,8.5,https://cdn-images.dzcdn.net/images/cover/87889d3931b63406d88b322b4cb05e4c/250x250-000000-80-0-0.jpg,947464842
belarus,alt rock,Дажджамі,Бяз Назвы ,7.5,,
belgium,emo,witching hour,feverchild,10.0,https://cdn-images.dzcdn.net/images/cover/496411b9698110635aaf8a0eefb06fc2/250x250-000000-80-0-0.jpg,2360640275
belgium,shoegaze,glow,slow crush,8.0,https://cdn-images.dzcdn.net/images/cover/2137f965afecc021bc5e5ed769b82380/250x250-000000-80-0-0.jpg,1082550292
belgium,emo,hotellounge ( be the death of me),deus,,https://cdn-images.dzcdn.net/images/cover/6869d9be4d25dc505d7fbc7358851789/250x250-000000-80-0-0.jpg,1935650607
bolivia,indie rock,hickey,bloodshock,8.5,,
bolivia,rock,histeria,llegas,7.0,https://cdn-images.dzcdn.net/images/cover/409916d63819e69f07379cde968fa72d/250x250-000000-80-0-0.jpg,110057038
botswana,noise rock,shooters,internet key,9.0,https://cdn-images.dzcdn.net/images/cover/7cd9366d7dce5fbea60f2a07d9ade577/250x250-000000-80-0-0.jpg,3004118041
